strategy_label,sample,cost_bps,funding_estimator,funding_lookback_events,basis_convergence_horizon_events,open_threshold,close_threshold,is_final_rule,sample_start,sample_end,n_periods,annual_return,annual_volatility,sharpe,total_return,max_drawdown,mean_turnover,mean_gross_exposure,active_events
"median funding 42 events, basis horizon 14, entry 0.00040",forward_2024_onward,20,median,42,14,0.0004,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03142211886850102,0.004968893117245688,6.323766305103911,0.080866655859263,-0.007738150437336944,0.003322868626305033,0.9184802655846551,2490
"median funding 42 events, basis horizon 14, entry 0.00050",train_2020_2023,20,median,42,14,0.0005,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.061084376751674586,0.02226928417891357,2.742987886854236,0.2755802567547081,-0.026480167102567287,0.007307624837533399,0.5259073270942707,2304
"median funding 42 events, basis horizon 14, entry 0.00050",forward_2024_onward,20,median,42,14,0.0005,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.030764092330792484,0.005240994942942845,5.86989544269972,0.07910354167336786,-0.00773815043733761,0.004310882965384235,0.918111398008115,2489
"median funding 42 events, basis horizon 21, entry 0.00010",train_2020_2023,20,median,42,21,0.0001,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.061708659775772674,0.021210060808663653,2.9094051324250145,0.2788844384197391,-0.03176908550483981,0.012697587159095232,0.9897283725176901,4336
"median funding 42 events, basis horizon 21, entry 0.00010",forward_2024_onward,20,median,42,21,0.0001,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.018018951961535565,0.00537553219437573,3.352031261274613,0.0455835726781042,-0.017679766719000622,0.008788023118585567,1.0,2711
"median funding 42 events, basis horizon 21, entry 0.00015",train_2020_2023,20,median,42,21,0.00015,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.0694924302149303,0.02225863138518392,3.122044164008519,0.3192156136409734,-0.03209941314337883,0.010640581635247597,0.9876740470212281,4327
"median funding 42 events, basis horizon 21, entry 0.00015",forward_2024_onward,20,median,42,21,0.00015,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.030865453090323913,0.005604784641520572,5.506982884172006,0.07936910243424333,-0.003849829747304967,0.003957518402995093,1.0,2711
"median funding 42 events, basis horizon 21, entry 0.00020",train_2020_2023,20,median,42,21,0.0002,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.07225455958008724,0.022347383600104423,3.2332446998291835,0.333864263224835,-0.02726483305545191,0.009985594249192405,0.8929468157954805,3912
"median funding 42 events, basis horizon 21, entry 0.00020",forward_2024_onward,20,median,42,21,0.0002,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.0322099084476545,0.005674178093135722,5.676576927788028,0.08296672752715994,-0.005622606182671852,0.003425890310792207,1.0,2711
"median funding 42 events, basis horizon 21, entry 0.00025",train_2020_2023,20,median,42,21,0.00025,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.05983124949830758,0.02206381147018713,2.7117367993808426,0.26922155348862176,-0.030113605372288688,0.009786064854072428,0.6555580917598722,2872
"median funding 42 events, basis horizon 21, entry 0.00025",forward_2024_onward,20,median,42,21,0.00025,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.0330095377251611,0.005777583129392227,5.713381700599355,0.0851111692378661,-0.005311580239381608,0.0030529328159782237,1.0,2711
