ts,gross_return,net_return_20bps,spot_price_pnl,perp_price_pnl,funding_pnl,spot_turnover,perp_turnover,total_turnover,gross_exposure
2024-09-11 08:00:00,0.00013034237850909132,0.00013034237850909132,-0.007692056719409868,0.0077999705264903876,2.242857142857143e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-11 16:00:00,-0.00011163515305743277,-0.00011163515305743277,-0.0029670157576177675,0.0028489820331317633,6.398571428571428e-06,0.0,0.0,0.0,0.9999999999999997
2024-09-12 00:00:00,2.8348079826877588e-05,2.8348079826877588e-05,0.005465260544599433,-0.005455857464772555,1.8945e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-12 08:00:00,-2.2655609598176726e-05,-2.2655609598176726e-05,0.005675547281350193,-0.005709101462376941,1.0898571428571429e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-12 16:00:00,0.00010078068821559247,0.00010078068821559247,-0.002800827282843913,0.0028902815424880768,1.1326428571428569e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-13 00:00:00,-2.4283023087688074e-05,-2.4283023087688074e-05,0.007988054438684935,-0.008038709604629766,2.6372142857142864e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-13 08:00:00,8.40327322788723e-05,8.40327322788723e-05,-0.0022841602380724814,0.0023407201132084965,2.7472857142857143e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-13 16:00:00,7.967074509244993e-07,7.967074509244993e-07,0.014126444275768098,-0.014156474711174316,3.082714285714286e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-14 00:00:00,-3.4437923791728057e-06,-3.4437923791728057e-06,0.0014277704343802489,-0.0014288767267594217,-2.3374999999999996e-06,0.0,0.0,0.0,0.9999999999999997
2024-09-14 08:00:00,5.509548193075211e-06,5.509548193075211e-06,-0.0036653314126702807,0.003642143103720499,2.8697857142857142e-05,0.0,0.0,0.0,0.9999999999999997
2024-09-14 16:00:00,8.781979454448701e-05,-0.00019789449116979895,-0.0006963359280211523,0.0007758249533348701,8.330769230769232e-06,0.07142857142857148,0.07142857142857148,0.14285714285714296,0.9999999999999998
2024-09-15 00:00:00,-9.785709389201929e-05,-9.785709389201929e-05,-0.0016406930458912786,0.0015154463366146439,2.7389615384615388e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-15 08:00:00,4.793872902470913e-05,4.793872902470913e-05,0.0011970522247516978,-0.0011689315726500656,1.9818076923076926e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-15 16:00:00,7.660875236485242e-05,7.660875236485242e-05,-0.0032058131618239193,0.0032720234526503102,1.039846153846154e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-16 00:00:00,5.0274447537131676e-05,5.0274447537131676e-05,-0.01757892568795889,0.017620584366265252,8.615769230769232e-06,0.0,0.0,0.0,0.9999999999999998
2024-09-16 08:00:00,-5.276392174964468e-05,-5.276392174964468e-05,-0.0009977151114850535,0.0009556342666584858,-1.0683076923076923e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-16 16:00:00,1.0002428235422471e-05,1.0002428235422471e-05,-0.00721719510249638,0.007227773684577957,-5.761538461538467e-07,0.0,0.0,0.0,0.9999999999999998
2024-09-17 00:00:00,3.653818834363085e-05,3.653818834363085e-05,0.002165249300894661,-0.002124032266397184,-4.678846153846154e-06,0.0,0.0,0.0,0.9999999999999998
2024-09-17 08:00:00,8.768443089210079e-06,8.768443089210079e-06,0.006405280312076246,-0.00640510302283319,8.591153846153847e-06,0.0,0.0,0.0,0.9999999999999998
2024-09-17 16:00:00,-1.087708667159112e-05,-1.087708667159112e-05,0.011921723239248689,-0.01194183609515105,9.235769230769231e-06,0.0,0.0,0.0,0.9999999999999998
2024-09-18 00:00:00,-1.2483240101340872e-05,-1.2483240101340872e-05,-0.00759338125207526,0.007569919935050842,1.0978076923076924e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-18 08:00:00,-4.344099707046472e-05,-4.344099707046472e-05,-0.002052920305850081,0.001998038539548847,1.144076923076923e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-18 16:00:00,6.357076243520468e-05,6.357076243520468e-05,-0.012243102426778417,0.012293350112290545,1.3323076923076925e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-19 00:00:00,-0.000154061124244648,-0.000154061124244648,0.026059652775153482,-0.026252139284013515,3.842538461538462e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-19 08:00:00,5.237133039827862e-05,5.237133039827862e-05,0.010458538800090242,-0.010452060161999656,4.589269230769231e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-19 16:00:00,9.616625490677574e-05,9.616625490677574e-05,0.004671439228046299,-0.0046077629731395234,3.249000000000001e-05,0.0,0.0,0.0,0.9999999999999998
